family,is_seed,product_kind,product_id,product_name,quality,spell_id,spell_name,craft_kind,profession,learned_at,difficulty,yield,station,method,recipe_item,reagents,effect
food,1,item,967561,Fused Blazing Stew,3,968331,Fused Blazing Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Blazing Stew,1x Item 1303476; 1x Item 1303470; 3x Raptor Flesh; 1x Essence of Fire,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 9 (0.90% @ L45) Spell Critical Rating and 15 Stamina. This effect persists through death and lasts for 1 hr
food,1,item,967630,Fused Bold Duck Stew,3,968400,Fused Bold Duck Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Bold Duck Stew,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Turtle Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10% Increased Threat Generation and 12 (0.87% @ L60) Dodge Rating. Lasts for 1 hr
food,1,item,967627,Fused Bold Simmered Stew,3,968397,Fused Bold Simmered Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Bold Simmered Stew,1x Scorched Silithid Meat; 1x Cured Savage Meat; 2x Tender Wolf Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10% Increased Threat Generation and 12 (0.87% @ L60) Parry Rating. Lasts for 1 hr
food,1,item,967609,Fused Bold Stew,3,968379,Fused Bold Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Bold Stew,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Sandworm Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10% Increased Threat Generation and 20 Stamina. Lasts for 1 hr
food,1,item,967513,Fused Charred Steak,3,968283,Fused Charred Steak,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Charred Steak,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 23 Strength. Lasts for 1 hr.
food,1,item,967567,Fused Chunky Stew,3,968337,Fused Chunky Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Chunky Stew,1x Scorched Silithid Meat; 1x Cured Savage Meat; 2x Raptor Flesh,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 14 Block Value and 15 Stamina. Lasts for 1 hr
food,1,item,967525,Fused Clear-Cut Chops,3,968295,Fused Clear-Cut Chops,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Clear-Cut Chops,1x Salted Naga Tail; 1x Cured Savage Meat; 2x Raptor Flesh,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10 (1.25% @ L60) Hit Rating and 15 Agility. Lasts for 1 hr
food,1,item,967531,Fused Clear-Cut Steak,3,968301,Fused Clear-Cut Steak,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Clear-Cut Steak,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Giant Egg,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10 (1.25% @ L60) Hit Rating and 15 Strength. Lasts for 1 hr
food,1,item,967528,Fused Clear-Cut Wontons,3,968298,Fused Clear-Cut Wontons,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Clear-Cut Wontons,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Raw Nightfin Snapper,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 8 (1.00% @ L60) Hit Rating and 18 Intellect. Lasts for 1 hr
food,1,item,967564,Fused Duck Stew,3,968334,Fused Duck Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Duck Stew,1x Salted Naga Tail; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 16 (1.16% @ L60) Dodge Rating and 15 Stamina. Lasts for 1 hr
food,1,item,967585,Fused Hearty Air Fried Chops,3,968355,Fused Hearty Air Fried Chops,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Hearty Air Fried Chops,1x Scorched Silithid Meat; 1x Cured Savage Meat; 2x Tender Wolf Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10 Agility and 20 Stamina. Lasts for 1 hr
food,1,item,967588,Fused Hearty Charred Steak,3,968358,Fused Hearty Charred Steak,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Hearty Charred Steak,1x Salted Naga Tail; 1x Cured Savage Meat; 2x Raw Nightfin Snapper,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10 Strength and 20 Stamina. Lasts for 1 hr
food,1,item,967582,Fused Hearty Living Soup,3,968352,Fused Hearty Living Soup,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Hearty Living Soup,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Giant Egg,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 15 Spirit and 20 Stamina. Lasts for 1 hr
food,1,item,967591,Fused Hearty Steamed Wontons,3,968361,Fused Hearty Steamed Wontons,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Hearty Steamed Wontons,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Turtle Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 20 Intellect and 20 Stamina. Lasts for 1 hr
food,1,item,967579,Fused Heightened Wontons,3,968349,Fused Heightened Wontons,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Heightened Wontons,1x Item 1303472; 1x Item 1303470; 3x Turtle Meat; 1x Essence of Water,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 25 Mana per 5 seconds and 200 Mana. This effect persists through death and lasts for 1 hr
food,1,item,967510,Fused Living Soup,3,968280,Fused Living Soup,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Living Soup,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 23 Spirit. Lasts for 1 hr.
food,1,item,967612,Fused Mana Imbued Roast,3,968382,Fused Mana Imbued Roast,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Mana Imbued Roast,1x Salted Naga Tail; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 15 Arcane Resistence and 20 Stamina. Lasts for 1 hr
food,1,item,967534,Fused Piercing Chops,3,968304,Fused Piercing Chops,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Piercing Chops,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Chimaerok Tenderloin,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 8 (1.87% @ L60) Armor Penetration Rating and 8 Agility. Lasts for 1 hr
food,1,item,967537,Fused Piercing Steak,3,968307,Fused Piercing Steak,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Piercing Steak,1x Salted Naga Tail; 1x Cured Savage Meat; 2x Sandworm Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 8 (1.87% @ L60) Armor Penetration Rating and 8 Strength. Lasts for 1 hr
food,1,item,967558,Fused Red-Hot Stew,3,968328,Fused Red-Hot Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Red-Hot Stew,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Sandworm Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 14 (1.00% @ L60) Melee Critical Rating and 14 Stamina. Lasts for 1 hr
food,1,item,967522,Fused Rock's Stew,3,968292,Fused Rock's Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Rock's Stew,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 28 Stamina Lasts for 1 hr.
food,1,item,967549,Fused Savory Chops,3,968319,Fused Savory Chops,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Savory Chops,1x Item 1303476; 1x Item 1303470; 3x Chimaerok Tenderloin; 2x Essence of Undeath,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 14 (2.46% @ L45) Hit Rating and 10 Agility. This effect persists through death and lasts for 1 hr
food,1,item,967552,Fused Savory Steak,3,968322,Fused Savory Steak,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Savory Steak,1x Item 1303476; 1x Item 1303470; 3x Chimaerok Tenderloin; 2x Essence of Undeath,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 14 (2.46% @ L45) Hit Rating and 10 Strength. This effect persists through death and lasts for 1 hr
food,1,item,967546,Fused Savory Stew,3,968316,Fused Savory Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Savory Stew,1x Item 1303476; 1x Item 1303470; 3x Mystery Meat; 2x Essence of Undeath,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 14 (2.46% @ L45) Hit Rating and 10 Stamina. This effect persists through death and lasts for 1 hr
food,1,item,967555,Fused Savory Wontons,3,968325,Fused Savory Wontons,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Savory Wontons,1x Item 1303476; 1x Item 1303470; 3x Turtle Meat; 1x Essence of Water,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 14 (2.46% @ L45) Hit Rating and 10 Intellect. This effect persists through death and lasts for 1 hr
food,1,item,967543,Fused Seared Chops,3,968313,Fused Seared Chops,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Seared Chops,1x Scorched Silithid Meat; 1x Cured Savage Meat; 2x Giant Egg,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 8 (0.80% @ L60) Haste Rating and 20 Attack Power. Lasts for 1 hr
food,1,item,967540,Fused Seared Wontons,3,968310,Fused Seared Wontons,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Seared Wontons,1x Scorched Silithid Meat; 1x Cured Savage Meat; 2x Chimaerok Tenderloin,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 8 (0.80% @ L60) Haste Rating and 8 Spellpower. Lasts for 1 hr
food,1,item,967570,Fused Simmered Stew,3,968340,Fused Simmered Stew,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Simmered Stew,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Tender Wolf Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 12 (0.87% @ L60) Parry Rating and 15 Stamina. Lasts for 1 hr
food,1,item,967615,Fused Sizzling Roast,3,968385,Fused Sizzling Roast,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Sizzling Roast,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 15 Fire Resistence and 20 Stamina. Lasts for 1 hr
food,1,item,967516,Fused Steamed Wontons,3,968286,Fused Steamed Wontons,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Steamed Wontons,1x Salted Naga Tail; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 25 Intellect. Lasts for 1 hr.
food,1,item,967597,Fused Subtle Chops,3,968367,Fused Subtle Chops,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Subtle Chops,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10% Reduced Threat Generated and 10 Agility. Lasts for 1 hr
food,1,item,967606,Fused Subtle Soup,3,968376,Fused Subtle Soup,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Subtle Soup,1x Scorched Silithid Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10% Reduced Threat Generated and 10 Spirit. Lasts for 1 hr
food,1,item,967600,Fused Subtle Steak,3,968370,Fused Subtle Steak,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Subtle Steak,1x Scorched Silithid Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10% Reduced Threat Generated and 10 Strength. Lasts for 1 hr
food,1,item,967603,Fused Subtle Wontons,3,968373,Fused Subtle Wontons,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Subtle Wontons,1x Salted Naga Tail; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10% Reduced Threat Generated and 15 Intellect. Lasts for 1 hr
food,1,item,967594,Fused Vibrant Chops,3,968364,Fused Vibrant Chops,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Vibrant Chops,1x Item 1303476; 1x Item 1303470; 3x Raw Nightfin Snapper; 1x Essence of Air,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 7 Maximum Energy. This effect persists through death and lasts for 1 hr.
food,1,item,967618,Fused Wild Roast,3,968388,Fused Wild Roast,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Wild Roast,1x Seared Savage Chimaera Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 15 Nature Resistence and 20 Stamina. Lasts for 1 hr
food,1,item,967621,Fused Winter Roast,3,968391,Fused Winter Roast,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Winter Roast,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Mystery Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 15 Frost Resistence and 20 Stamina. Lasts for 1 hr
food,1,item,967576,Fused Wizard Soup,3,968346,Fused Wizard Soup,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Wizard Soup,1x Shadowcharred Animated Meat; 1x Cured Savage Meat; 2x Giant Egg,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10 Spellpower and 12 Spirit. Lasts for 1 hr
